"","spec.name","Old.name","scientificName","Fuzzy.dist","taxonRank","taxonomicStatus"
"109","Carya illinoensis","","Carya illinoinensis",2,"species","Accepted"
"110","Euonymus latifoliae","","Euonymus latifolius",2,"species","Accepted"
"111","Euonymus latifoliae","Euonymus latifolius","Euonymus europaeus",2,"species","Accepted"
"112","Euonymus latifoliae","Euonymus latifolius","Euonymus oxyphyllus",2,"species","Accepted"
"113","Podocarpi coriacei","Podocarpium","Hylodesmum",9,"genus","Accepted"
"114","Podocarpi coriacei","","Podocarpus",10,"genus","Accepted"
"115","Vaccinium vitis","","Vaccinium viride",3,"species","Accepted"
"116","Vaccinium vitis","","Vaccinium viride",3,"species","Accepted"
"117","Roman pottiana","Romana","Buddleja",8,"genus","Accepted"
"118","Pandani merrillii","Pandanus merrillii","Benstonea affinis",2,"species","Accepted"
"119","Panicum patentis","Panicum patens","Cyrtococcum patens",2,"species","Accepted"
"120","Panicum patentis","Panicum patens","Panicum hochstetteri",2,"species","Accepted"
"121","Sitona cylindricollis","","Simonachne",14,"genus","Unchecked"
"122","Phorodendri undulati","","Phoradendron",10,"genus","Accepted"
"123","Phorodendri undulati","Psorodendron","Psorothamnus",10,"genus","Accepted"
"124","Laurel umbellularia","","Laurelia",11,"genus","Accepted"
"125","Zelloca edulis","","Melloca",8,"genus","Unchecked"
"126","Leptochili alieni","","Leptochilus",8,"genus","Accepted"
"127","Lampsana communis","","Lapsana communis",1,"species","Accepted"
"128","Euonmyus europaeus","","Euonymus europaeus",2,"species","Accepted"
"129","Asp. dryops","Ceropegia lucida subsp. dryophila","Ceropegia dryophila",24,"species","Accepted"
"130","Asp. obtus","Zea mays subsp. obtusa","Zea mays",13,"species","Accepted"
"131","Sytno prope","","Synoum",7,"genus","Accepted"
"132","Camelia theae","Camellia thea","Camellia sinensis",2,"species","Accepted"
"133","Acnisti arborescentis","","Acnistus",14,"genus","Unchecked"
"134","Ramulis fagi","","Rubus spiniramulis",13,"species","Unchecked"
"135","Ramulis aceris","","Rubus spiniramulis",12,"species","Unchecked"
"136","Pithecolobium dulce","Pithecollobium dulce","Pithecellobium dulce",1,"species","Accepted"
"137","Galium molluginis","Galium molluginoides","Asperula molluginoides",3,"species","Accepted"
"138","Pin. sylvestris","","Pinus sylvestris",2,"species","Accepted"
"139","Pruno cerasi","","Prunus cerasia",3,"species","Accepted"
"140","Coccus viridis","","Costus viridis",2,"species","Accepted"
"141","Coccus viridis","Cactus viridis","Mammillaria karwinskiana",2,"species","Accepted"
"142","Coccus viridis","Coleus viridis","Plectranthus viridis",2,"species","Accepted"
"143","Microsiphum sanborni","Microsyphus","Striga",10,"genus","Accepted"
"144","Circus undulatus","Cnicus undulatus","Cirsium undulatum",2,"species","Accepted"
"145","Circus undulatus","Cereus undulatus","Acanthocereus tetragonus",2,"species","Accepted"
"146","Circus undulatus","","Cereus undulatus",2,"species","Accepted"
"147","Circus undulatus","","Cereus undulatus",2,"species","Accepted"
"148","Circus undulatus","Cistus undulatus","Cistus creticus",2,"species","Accepted"
"149","Phylacca decandra","Phytolacca decandra","Phytolacca americana",2,"species","Accepted"
"150","Actinosomatis adianti","",NA,NA,NA,NA
"151","Rhamnus laceolatus","Ozothamnus lanceolatus","Ozothamnus glomeratus",5,"species","Accepted"
"152","Acanthulipes lonicerae","",NA,NA,NA,NA
"153","Cajamas indicus","Cajanus indicus","Cajanus cajan",2,"species","Accepted"
"154","Ptilona virgata","Ptiloria virgata","Stephanomeria virgata  subsp. virgata",2,"subspecies","Accepted"
"155","Gleditochia triacanthos","Gleditschia triacanthos","Gleditsia triacanthos",1,"species","Accepted"
"156","Rhus copallinae","","Rhus copallinum",2,"species","Accepted"
"157","Rhus copallinae","","Rhus corallina",2,"species","Unchecked"
"158","Iberidis umbellatae","","Aster berberidis",16,"species","Unchecked"
"159","Diodeae teretis","",NA,NA,NA,NA
"160","Sicya angulatus","","Sicyos angulatus",2,"species","Accepted"
"161","Opophilus gregarius","","Rubus napophilus",14,"species","Unchecked"
"162","Opophilus copiosus","","Rubus napophilus",13,"species","Unchecked"
"163","Ailanthi glandulosi","","Ailanthus",10,"genus","Accepted"
"164","Aiponis tuberosae","",NA,NA,NA,NA
"165","Eleaguns argentea","",NA,NA,NA,NA
"166","Dolechampia mucunaecola","","Dalechampia",13,"genus","Accepted"
"167","Decandra verticillata","Leandra verticillata","Miconia verticillifolia",2,"species","Accepted"
"168","Vassiae occidentale","Inga quassiaefolia","Inga pilosula",16,"species","Accepted"
"169","Vernoula baldwinii","","Vernonia baldwinii",2,"species","Accepted"
"170","Hartmanii speciosa","Hartmannia speciosa","Oenothera speciosa",2,"species","Accepted"
"171","Osmarrhiza longistylis","","Osmorhiza longistylis",2,"species","Accepted"
"172","Oxydendron arboreum","","Oxydendrum arboreum",2,"species","Accepted"
"173","Penstemonis cobaeae","","Penstemon",10,"genus","Accepted"
"174","Aradus hypogaea","Apradus","Arctopus",10,"genus","Accepted"
"175","Aradus hypogaea","","Aragus",10,"genus","Unchecked"
"176","Rhamnus discoloris","Rhamnus discolor","Frangula discolor",2,"species","Accepted"
"177","Rhamnus discoloris","Rhamnus discolor","Frangula discolor",2,"species","Accepted"
"178","Polygonae convolvuli","","Polygonum convolvuliforme",7,"species","Unchecked"
"179","Polygonum hydropiperis","Polygonum hydropiper","Persicaria hydropiper",2,"species","Accepted"
"180","Asclepiades jamesii","Asclepias jamesii","Asclepias latifolia",2,"species","Accepted"
"181","Rhamnus catharicus","","Rhamnus",11,"genus","Accepted"
"182","Ricini communis","","Ricinus communis",2,"species","Accepted"
"183","Rosarum cultarum","Rosa umbrosa","Rosa gallica",9,"species","Accepted"
"184","Eriogeni tomentosi","","Erigenia",11,"genus","Accepted"
"185","Eriogeni tomentosi","Eriogynia","Luetkea",11,"genus","Accepted"
"186","Sapii veri","","Sapium",6,"genus","Accepted"
"187","Sapii veri","","Sapria",6,"genus","Accepted"
"188","Sesame indica","","Sesamum",8,"genus","Accepted"
"189","Sium cicutaefolium","Sium cicutifolium","Sium suave",2,"species","Accepted"
"190","Pithecolobii lanceolati","","Pithecolobium",12,"genus","Accepted"
"191","Symphocarpus racemosus","Symphoricarpos racemosus","Symphoricarpos albus",3,"species","Accepted"
"192","Symplocarpi foetidae","","Symplocarpus",10,"genus","Accepted"
"193","Spomaea pandurata","","Ipomoea pandurata",2,"species","Accepted"
"194","Solidaginis altissima","","Solidagininae",10,"subtribe","Unchecked"
"195","Celtidis occidentalis","","Celtis occidentalis",2,"species","Accepted"
"196","Phyrma leptostachya","","Phryma leptostachya",2,"species","Accepted"
"197","Athyrium filix","Athyrium flexile","Athyrium distentifolium",5,"species","Accepted"
"198","Opophilus sparsus","","Rubus napophilus",14,"species","Unchecked"
"199","Manus alba","","Malus",6,"genus","Accepted"
"200","Manus alba","","Mazus",6,"genus","Accepted"
"201","Peutstemon venustus","","Penstemon venustus",2,"species","Accepted"
"202","Tragopogi pratensis","","Tragopogon pratensis",2,"species","Accepted"
"203","Biccicolla cucullaria","Bicuculla cucullaria","Dicentra cucullaria",3,"species","Accepted"
"204","Fica carica","","Ficus carica",2,"species","Accepted"
"205","Tectoniae grandis","","Tectona grandis",2,"species","Accepted"
"206","Lk. truncorum","",NA,NA,NA,NA
"207","Picsae excelsae","Picraena","Picrasma",9,"genus","Accepted"
"208","Picsae excelsae","Picraena","Astragalus",9,"genus","Accepted"
"209","Pirolae rotundifoliae","","Pyrola rotundifolia",3,"species","Accepted"
"210","Erisyphe cichoracearum","",NA,NA,NA,NA
"211","Lenzites betulina","",NA,NA,NA,NA
"212","Butomi umbellati","","Butomus",10,"genus","Accepted"
"213","Butomi umbellati","Butumia","Saxicolella",10,"genus","Accepted"
"214","Arachidis hypogeae","Alectra arachidis","Alectra vogelii",16,"species","Accepted"
"215","Saprophilus sparsus","","Croton agrophilus",14,"species","Accepted"
"216","Saprophilus sparsus","","Rubus napophilus",16,"species","Unchecked"
"217","Saprophilus sparsus","","Bryum saprophilum",16,"species","Accepted"
"218","Cariopses phragmitis","",NA,NA,NA,NA
"219","Heleocharis palustris","","Eleocharis palustris",2,"species","Accepted"
"220","Andrena solidago","","Andreaea",9,"genus","Accepted"
"221","Solliidago canadensis","","Solidago canadensis",2,"species","Accepted"
"222","Vernon noveboracensis","","Vernonia noveboracensis",2,"species","Accepted"
"223","Vernon noveboracensis","","Vernonia noveboracensis",2,"species","Accepted"
"224","Clerodendri trichostomi","","Clerodendrum",12,"genus","Accepted"
"225","Pumiera obtusa","Bruguiera obtusa","Lumnitzera racemosa",4,"species","Accepted"
"226","Alectorolophi majoris","Alectorolophus","Rhinanthus",8,"genus","Accepted"
"227","Evodia meliaefolia","","Evodia meliifolia",2,"species","Unchecked"
"228","Sponaea pandurata","",NA,NA,NA,NA
"229","Grossula pinetorum","Glossula","Peristylus",11,"genus","Accepted"
"230","Liabi discoloris","","Liabum",12,"genus","Accepted"
"231","Sonch oleracei","","Sonchus",9,"genus","Accepted"
"232","Sonch oleracei","","Sonchos",8,"genus","Unchecked"
"233","Xanthoxyli bungei","Xanthoxalis","Oxalis",8,"genus","Accepted"
"234","Xanthoxyli bungei","","Xanthoxylon",7,"genus","Unchecked"
"235","Guajaci officinalis","Guajacum","Guaiacum",13,"genus","Accepted"
"236","Pithecolobii dulcis","","Pithecolobium",7,"genus","Accepted"
"237","Therioaphis maculata","",NA,NA,NA,NA
"238","Buddeleia asiatica","","Buddleja asiatica",2,"species","Accepted"
"239","Abies corticium","","Abies",10,"genus","Accepted"
"240","Abies corticium","","Abies",10,"genus","Unchecked"
"241","Abies corticium","","Abies",10,"genus","Unchecked"
"242","Vitri vinifera","","Vitis vinifera",2,"species","Accepted"
"243","Cicada hieroglyphica","","Cycadales",14,"order","Accepted"
"244","Camponotus castaneus","",NA,NA,NA,NA
"245","Polyrhachis lamellidens","Polyrhaphis","Pappophorum",13,"genus","Accepted"
"246","Spondea lutea","Spondias lutea","Spondias mombin",2,"species","Accepted"
"247","Ramis aridis","","Ramisia",6,"genus","Accepted"
"248","Ramis aridis","Ramium","Boehmeria",8,"genus","Accepted"
"249","Pirus malus","Pyrus malus","Malus domestica",1,"species","Accepted"
"250","Pirus malus","","Pyrus malus",1,"species","Unchecked"
"251","Pirus malus","","Pyrus malus",1,"species","Unchecked"
"252","Pirus malus","","Pyrus malus",1,"species","Unchecked"
"253","Symphoricarpos orbicularis","","Symphoricarpos orbiculatus",2,"species","Accepted"
"254","Salex longifoliae","","Salix longifolia",2,"species","Unchecked"
"255","Salex longifoliae","Salix longifolia","Salix viminalis",2,"species","Accepted"
"256","Salex longifoliae","","Salix longifolia",2,"species","Unchecked"
"257","Salex longifoliae","Salix longifolia","Salix gmelinii",2,"species","Accepted"
"258","Nothofagi dombeyi","","Nothofagus dombeyi",2,"species","Accepted"
"259","Pirus meridionalis","Pyrus meridionalis","Aria graeca",1,"species","Accepted"
"260","Cynanchi vincetoxici","","Cynanchum",13,"genus","Accepted"
"261","Cynanchi vincetoxici","","Cynanchica",11,"genus","Accepted"
"262","Cynanchi vincetoxici","","Cynanchum",13,"genus","Accepted"
"263","Cynanchi vincetoxici","","Cynanchica",11,"genus","Accepted"
"264","Taeonia herbacea","","Tetragonia herbacea",4,"species","Accepted"
"265","Fraxinus excelsioris","","Fraxinus excelsior",2,"species","Accepted"
"266","Coryli avellanae","","Codylis",11,"genus","Unchecked"
"267","Coryli avellanae","Cogylia","Lardizabala",10,"genus","Accepted"
"268","Coryli avellanae","","Corylus",11,"genus","Accepted"
"269","Ramulos aridos","",NA,NA,NA,NA
"270","Foliis chenopodii","Folis nudicaulis","Teesdalia nudicaulis",10,"species","Accepted"
"271","Zizypus jujuba","","Ziziphus jujuba",2,"species","Accepted"
"272","Berbens aquifolium","","Berberis aquifolium",2,"species","Accepted"
"273","Berberis auqifolium","","Berberis aquifolium",2,"species","Accepted"
"274","Gileditschia triacanthus","Gleditschia triacanthos","Gleditsia triacanthos",2,"species","Accepted"
"275","Eryngium yuccaefolium","","Eryngium yuccifolium",2,"species","Accepted"
"276","Heracles sibirica","","Heraclea",9,"genus","Unchecked"
"277","Taxodii distichi","","Taxodium",10,"genus","Accepted"
"278","Stenolobii stantis","Stenolobium","Tecoma",9,"genus","Accepted"
"279","Stenolobii stantis","Stenolobium","Calopogonium",9,"genus","Accepted"
"280","Jacaranda mimosaefolia","","Jacaranda mimosifolia",2,"species","Accepted"
"281","Euonmyus fortunei","","Euonymus fortunei",2,"species","Accepted"
"282","Chaparral-pinus ponderosa","",NA,NA,NA,NA
"283","Laricis americanae","Scirpus caricis","Blysmus compressus",13,"species","Accepted"
"284","Hippocastori foliosum","",NA,NA,NA,NA
"285","Fol aceris","",NA,NA,NA,NA
"286","Cissi rhombifoliae","","Cassia",13,"genus","Accepted"
"287","Cissi rhombifoliae","","Cissus",14,"genus","Accepted"
"288","Hicoria minima","Scoria minima","Carya cordiformis",2,"species","Accepted"
"289","Hicoria minima","Hicorius minima","Carya cordiformis",2,"species","Accepted"
"290","Ramulis carpini","","Rubus spiniramulis",13,"species","Unchecked"
"291","Dauci carotae","","Daucus",9,"genus","Accepted"
"292","Ramulus rubi-idaei","","Salvia hamulus",16,"species","Accepted"
"293","Ramulus rubi-idaei","","Aloina hamulus",17,"species","Accepted"
"294","Hederae helicis","Orobanche hederae-helicis","Orobanche hederae",12,"species","Accepted"
"295","Tragopogonis majoris","","Tragopogon",10,"genus","Accepted"
"296","Spirea tomentosa","","Spiraea tomentosa",1,"species","Accepted"
"297","Ononis repentis","Ononis repens","Ononis spinosa  subsp. procurrens",2,"subspecies","Accepted"
"298","Salex albae","","Salix alba",2,"species","Accepted"
"299","Fagus silvaticae","","Fagus sylvatica",2,"species","Accepted"
"300","Ramulis quercus","","Rubus spiniramulis",12,"species","Unchecked"
"301","Agropynum repens","",NA,NA,NA,NA
"302","Arbor vitae","Cupressus arborvitae","Thuja occidentalis",12,"species","Accepted"
"303","Thuya occidentalis","","Thuja occidentalis",1,"species","Accepted"
"304","Fucus spiralis","","Ficus spiralis",1,"species","Accepted"
"305","Pelvetia canaliculata","","Echeveria canaliculata",5,"species","Accepted"
"306","Cucumeris melonis","Cucumeria cucumeris","Specklinia cucumeris",8,"species","Accepted"
"307","Anthemidis tinctoriae","Anthemis tinctoria","Cota tinctoria",3,"species","Accepted"
"308","Caulibus sambuci","Gompholobium versicolor var. caulibus-purpureis","Gompholobium polymorphum",38,"species","Accepted"
"309","Carex acutae","","Carex acuta",1,"species","Accepted"
"310","Carex acutae","Carex acuta","Carex riparia",1,"species","Accepted"
"311","Sub epidermide","",NA,NA,NA,NA
"312","Chondrus crispus","Chondrosea","Saxifraga",9,"genus","Accepted"
"313","Chondrus crispus","","Chondrosum",8,"genus","Accepted"
"314","Sabalis serrulata","Sabal serrulata","Serenoa repens",2,"species","Accepted"
"315","Sabalis serrulatae","Sabal speciosa","Sabal minor",10,"species","Accepted"
"316","Podocarpi macrophylli","","Podocarpus macrophyllus",4,"species","Accepted"
"317","Glischrochilus quadrisignatus","",NA,NA,NA,NA
"318","Tiliae pubescentis","","Tilia",13,"genus","Accepted"
"319","Caryea albae","","Carya alba",2,"species","Accepted"
"320","Caryea albae","","Carya alba",2,"species","Unchecked"
"321","Alismatis plantaginis","",NA,NA,NA,NA
"322","Sagittaria sagittaefolia","","Sagittaria sagittifolia",2,"species","Accepted"
"323","Cerasi virginianae","Ceraia","Dendrobium",12,"genus","Accepted"
"324","Cerasi virginianae","Ceramia","Erica",12,"genus","Accepted"
"325","Cerasi virginianae","","Ceraria",11,"genus","Accepted"
"326","Cerasi virginianae","","Cerasus",13,"genus","Accepted"
"327","Cerasi virginianae","Ceratia","Ceratonia",12,"genus","Accepted"
"328","Epilobii montani","","Epilobium montaniforme",7,"species","Accepted"
"329","Phlogis undulata","","Phlomis",10,"genus","Accepted"
"330","Phlogis undulatae","","Phlomis",11,"genus","Accepted"
"331","Rhus radicantis","Rhus radicans","Toxicodendron radicans",2,"species","Accepted"
"332","Gernaium rotundifoliae","",NA,NA,NA,NA
"333","Pseudoeurotium multisporum","",NA,NA,NA,NA
"334","Melanoplus femurrubrum","",NA,NA,NA,NA
"335","Sedi acris","Fedia","Valerianella",6,"genus","Accepted"
"336","Sedi acris","","Sedum",7,"genus","Accepted"
"337","Sedi acris","","Sedum",7,"genus","Unchecked"
"338","Sedi acris","Seris","Richterago",5,"genus","Accepted"
"339","Clerodendron intermedium","","Clerodendrum intermedium",2,"species","Accepted"
"340","Clerodendron intermedium","Clerodendrum intermedium","Clerodendrum dusenii",2,"species","Accepted"
"341","Clerodendron quadriloculare","","Clerodendrum quadriloculare",2,"species","Accepted"
"342","Sidaliae candida","",NA,NA,NA,NA
"343","Sarcophaga aldrichii","Sarcophagophilus","Quaqua",10,"genus","Accepted"
"344","Oedipoda pellucida","","Oedipodium",10,"genus","Accepted"
"345","Spilosoma virginia","Ichnanthus pilosomarginatus","Oedochloa mayarensis",18,"species","Accepted"
"346","Phytonomus punctatus","",NA,NA,NA,NA
"347","Nephrotoma gracilicornis","",NA,NA,NA,NA
"348","Syritta pipiens","",NA,NA,NA,NA
"349","Pyrus maculatum","","Pyrus",10,"genus","Accepted"
"350","Innocuous bufonius","",NA,NA,NA,NA
"351","Myosotidis intermediae","Myosotis intermedia","Myosotis arvensis",3,"species","Accepted"
"352","Myosotidis intermediae","","Myosotis intermedia",3,"species","Unchecked"
"353","Eryngii campestris","","Eryngium",11,"genus","Accepted"
"354","Glaucii lutei","","Glaucium",6,"genus","Accepted"
"355","Hieranum murorum","","Hieracium murorum",2,"species","Unchecked"
"356","Hieranum murorum","","Hieracium murorum",2,"species","Accepted"
"357","Hieranum murorum","","Hieracium murorum",2,"species","Accepted"
"358","Menispermi canadensis","","Menispermum",12,"genus","Accepted"
"359","Fanunculi repentis","","Rosa ranunculiflora",15,"species","Unchecked"
"360","Fanunculi repentis","Krapfia ranunculina","Ranunculus haemanthus",17,"species","Accepted"
"361","Fanunculi repentis","","Nasa ranunculifolia",14,"species","Accepted"
"362","Ranunculi repentis","","Ranunculus",9,"genus","Accepted"
"363","Ranuneuli repentis","",NA,NA,NA,NA
"364","Borraginis officinalis","",NA,NA,NA,NA
"365","Acer rubrae","","Acer rubrum",2,"species","Accepted"
"366","Thalictrum anemoides","Thalictrum anemonoides","Anemonella thalictroides",2,"species","Accepted"
"367","Ceanothi pagina","","Ceanothus",8,"genus","Accepted"
"368","Ansimckia intermedia","Amsinckia intermedia","Amsinckia menziesii  var. intermedia",2,"variety","Accepted"
"369","Kertoneia sibirica","",NA,NA,NA,NA
"370","Stachup palustris","","Stachys palustris",2,"species","Accepted"
"371","Verbeseria alternifolia","","Verbesina alternifolia",3,"species","Accepted"
"372","Verbeseria alternifolia","Verbesina alternifolia","Verbesina robinsonii",3,"species","Accepted"
"373","Agrostis spica","Agrostis spicata","Sporobolus africanus",2,"species","Accepted"
"374","Agrostis spica","Agrostis spicata","Agrostis stolonifera",2,"species","Accepted"
"375","Agrostis spica","Agrostis spicata","Sporobolus spicatus",2,"species","Accepted"
"376","Lithospermi arvensis","","Lithospermum",10,"genus","Accepted"
"377","Nemopholia parviflora","","Nemophila parviflora",2,"species","Accepted"
"378","Hypercium hirsulum","",NA,NA,NA,NA
"379","Plantago majoris","","Plantago major",2,"species","Accepted"
"380","Vestrina urticifolia","Caelestina urticifolia","Barrosoa betonicaeformis",5,"species","Accepted"
"381","America borealis","",NA,NA,NA,NA
"382","Lappa minores","Lappa minor","Arctium minus",2,"species","Accepted"
"383","Delphiniumum cultorum","","Delphinium",11,"genus","Accepted"
"384","Palygoni aviculare","","Polygonifolia squamosa",13,"species","Unchecked"
"385","Palygoni aviculare","Polygonifolia deltodea","Calandrinia monandra",12,"species","Accepted"
"386","Palygoni aviculare","","Polygonifolia capensis",12,"species","Unchecked"
